,id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,winner,total,WIN_PERCENTAGES,home_win_percentage,away_win_percentage,home_streak,away_streak,CUMULATIVE_AVERAGES,home_avg_points_scored_combined,home_avg_points_allowed_combined,away_avg_points_scored_combined,away_avg_points_allowed_combined,AT_HOME_AVGS,home_avg_points_scored_at_home,home_avg_points_allowed_at_home,ON_ROAD_AVGS,away_avg_points_scored_on_road,away_avg_points_allowed_on_road,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10,L5_AVERAGES,home_avg_points_scored_L5_at_home,home_avg_points_allowed_L5_at_home,away_avg_points_scored_L5_on_road,away_avg_points_allowed_L5_on_road,DAYS_SINCE,home_days_since_last_game,away_days_since_last_game,H2H,home_h2h_spread,home_h2h_record,away_h2h_record
423,372891,2024-02-04 01:30:00+00:00,2023-2024,151,New York Knicks,145,Los Angeles Lakers,25,34,27,19,0.0,105,27,32,21,33,0.0,113,-8,0,218,WIN_PERCENTAGES:,0.7,0.5,9,1,CUM_AVERAGES:,115.1,108.4,116.0,118.2,AT_HOME_AVGS:,114.7,104.5,ON_ROAD_AVGS:,115.6,122.8,L10AVERAGES:,113.7,99.7,124.2,123.6,L5AVERAGES:,120.0,100.2,123.2,129.8,DAYS_SINCE:,2,2,H2H:,5,1,0
441,372911,2024-02-07 00:30:00+00:00,2023-2024,151,New York Knicks,146,Memphis Grizzlies,33,37,27,26,0.0,123,24,22,28,39,0.0,113,10,1,236,WIN_PERCENTAGES:,0.7,0.4,-1,-5,CUM_AVERAGES:,114.9,108.5,106.9,113.1,AT_HOME_AVGS:,114.2,104.8,ON_ROAD_AVGS:,109.1,114.2,L10AVERAGES:,114.8,101.2,101.6,112.4,L5AVERAGES:,115.8,102.8,102.0,113.6,DAYS_SINCE:,2,2,H2H:,12,1,0
456,372924,2024-02-09 00:30:00+00:00,2023-2024,151,New York Knicks,138,Dallas Mavericks,22,26,23,37,0.0,108,28,31,28,35,0.0,122,-14,0,230,WIN_PERCENTAGES:,0.7,0.5,1,2,CUM_AVERAGES:,115.1,108.6,118.2,118.3,AT_HOME_AVGS:,114.6,105.2,ON_ROAD_AVGS:,116.4,118.6,L10AVERAGES:,116.2,103.1,116.4,122.9,L5AVERAGES:,116.0,108.6,116.4,120.0,DAYS_SINCE:,2,2,H2H:,-4,0,1
477,372945,2024-02-11 00:30:00+00:00,2023-2024,151,New York Knicks,143,Indiana Pacers,27,31,24,29,0.0,111,26,35,30,34,0.0,125,-14,0,236,WIN_PERCENTAGES:,0.6,0.5,-1,-1,CUM_AVERAGES:,114.9,108.9,124.0,122.9,AT_HOME_AVGS:,114.3,105.8,ON_ROAD_AVGS:,121.3,124.2,L10AVERAGES:,115.7,104.4,119.9,120.7,L5AVERAGES:,112.6,111.2,113.8,114.4,DAYS_SINCE:,2,2,H2H:,-10,1,1
486,372954,2024-02-13 01:00:00+00:00,2023-2024,142,Houston Rockets,151,New York Knicks,29,28,17,31,0.0,105,22,21,28,32,0.0,103,2,1,208,WIN_PERCENTAGES:,0.4,0.6,-4,-2,CUM_AVERAGES:,113.5,112.8,114.8,109.2,AT_HOME_AVGS:,115.6,109.1,ON_ROAD_AVGS:,115.5,112.1,L10AVERAGES:,117.8,115.4,114.2,106.9,L5AVERAGES:,121.4,117.6,114.4,104.4,DAYS_SINCE:,2,2,H2H:,-15,0,1
499,372967,2024-02-15 00:00:00+00:00,2023-2024,153,Orlando Magic,151,New York Knicks,27,38,24,29,0.0,118,36,19,22,23,0.0,100,18,1,218,WIN_PERCENTAGES:,0.5,0.6,-1,-3,CUM_AVERAGES:,111.6,111.1,114.6,109.1,AT_HOME_AVGS:,114.5,109.2,ON_ROAD_AVGS:,115.0,111.8,L10AVERAGES:,112.4,110.6,113.7,107.1,L5AVERAGES:,113.2,114.0,110.8,104.4,DAYS_SINCE:,0,1,H2H:,13,2,0
515,372983,2024-02-23 00:00:00+00:00,2023-2024,154,Philadelphia 76ers,151,New York Knicks,21,25,35,15,0.0,96,32,37,22,19,0.0,110,-14,0,206,WIN_PERCENTAGES:,0.6,0.6,-1,-4,CUM_AVERAGES:,118.3,113.9,114.4,109.3,AT_HOME_AVGS:,119.1,113.3,ON_ROAD_AVGS:,114.5,112.0,L10AVERAGES:,113.2,122.4,111.5,110.5,L5AVERAGES:,110.4,123.4,106.0,102.4,DAYS_SINCE:,8,8,H2H:,-36,0,1
537,373005,2024-02-25 01:30:00+00:00,2023-2024,151,New York Knicks,133,Boston Celtics,26,32,26,18,0.0,102,30,32,35,19,0.0,116,-14,0,218,WIN_PERCENTAGES:,0.6,0.8,1,7,CUM_AVERAGES:,114.3,109.0,121.0,110.4,AT_HOME_AVGS:,114.2,106.5,ON_ROAD_AVGS:,119.2,112.0,L10AVERAGES:,110.0,109.2,123.4,110.1,L5AVERAGES:,111.2,115.6,123.8,109.6,DAYS_SINCE:,2,2,H2H:,-30,0,3
551,373017,2024-02-27 00:30:00+00:00,2023-2024,151,New York Knicks,140,Detroit Pistons,29,33,30,21,0.0,113,27,31,26,27,0.0,111,2,1,224,WIN_PERCENTAGES:,0.6,0.1,-1,-5,CUM_AVERAGES:,114.1,109.2,112.8,121.9,AT_HOME_AVGS:,113.8,106.9,ON_ROAD_AVGS:,113.9,124.1,L10AVERAGES:,108.9,111.6,114.7,121.1,L5AVERAGES:,109.8,117.8,112.0,120.8,DAYS_SINCE:,1,1,H2H:,6,1,0
557,373027,2024-02-28 00:30:00+00:00,2023-2024,151,New York Knicks,150,New Orleans Pelicans,19,28,20,25,0.0,92,26,22,26,41,0.0,115,-23,0,207,WIN_PERCENTAGES:,0.6,0.6,1,-2,CUM_AVERAGES:,114.0,109.2,116.4,111.6,AT_HOME_AVGS:,113.8,107.0,ON_ROAD_AVGS:,116.0,111.8,L10AVERAGES:,108.4,112.4,114.1,108.0,L5AVERAGES:,111.4,117.4,108.4,105.8,DAYS_SINCE:,1,2,H2H:,-9,0,1
574,373041,2024-03-01 00:30:00+00:00,2023-2024,151,New York Knicks,141,Golden State Warriors,19,27,24,29,0.0,99,31,24,25,30,0.0,110,-11,0,209,WIN_PERCENTAGES:,0.6,0.5,-1,1,CUM_AVERAGES:,113.7,109.3,119.2,117.4,AT_HOME_AVGS:,113.0,107.3,ON_ROAD_AVGS:,121.3,116.9,L10AVERAGES:,106.7,113.4,121.6,112.4,L5AVERAGES:,105.2,117.8,130.0,113.8,DAYS_SINCE:,2,2,H2H:,0,0,0
599,373066,2024-03-04 00:00:00+00:00,2023-2024,137,Cleveland Cavaliers,151,New York Knicks,19,34,25,20,0.0,98,28,23,36,20,0.0,107,-9,0,205,WIN_PERCENTAGES:,0.7,0.6,1,-2,CUM_AVERAGES:,114.6,109.6,113.4,109.3,AT_HOME_AVGS:,116.0,111.0,ON_ROAD_AVGS:,114.3,111.5,L10AVERAGES:,114.0,109.4,106.1,113.1,L5AVERAGES:,119.0,114.6,106.8,102.8,DAYS_SINCE:,2,2,H2H:,-12,1,1
610,373078,2024-03-06 00:30:00+00:00,2023-2024,151,New York Knicks,132,Atlanta Hawks,15,35,28,22,0.0,100,33,28,22,33,0.0,116,-16,0,216,WIN_PERCENTAGES:,0.6,0.4,1,-2,CUM_AVERAGES:,113.3,109.1,120.4,122.7,AT_HOME_AVGS:,112.6,107.4,ON_ROAD_AVGS:,117.1,121.8,L10AVERAGES:,104.5,111.6,114.4,116.7,L5AVERAGES:,103.4,115.4,108.4,121.2,DAYS_SINCE:,2,3,H2H:,8,2,0
634,373102,2024-03-09 00:30:00+00:00,2023-2024,151,New York Knicks,153,Orlando Magic,31,24,25,18,0.0,98,23,16,15,20,0.0,74,24,1,172,WIN_PERCENTAGES:,0.6,0.6,-1,5,CUM_AVERAGES:,113.1,109.2,111.4,109.5,AT_HOME_AVGS:,112.2,107.6,ON_ROAD_AVGS:,109.0,111.6,L10AVERAGES:,103.7,111.0,110.7,103.1,L5AVERAGES:,101.2,113.6,108.0,105.0,DAYS_SINCE:,3,2,H2H:,-31,0,3
653,373117,2024-03-10 23:00:00+00:00,2023-2024,151,New York Knicks,154,Philadelphia 76ers,15,16,25,17,0.0,73,15,22,26,16,0.0,79,-6,0,152,WIN_PERCENTAGES:,0.6,0.6,1,-3,CUM_AVERAGES:,112.8,108.7,116.5,113.6,AT_HOME_AVGS:,111.8,106.6,ON_ROAD_AVGS:,116.6,114.7,L10AVERAGES:,102.4,105.9,105.3,111.2,L5AVERAGES:,100.4,105.2,113.6,115.8,DAYS_SINCE:,1,1,H2H:,50,2,0
661,373128,2024-03-12 23:30:00+00:00,2023-2024,151,New York Knicks,154,Philadelphia 76ers,26,33,28,19,0.0,106,14,27,20,18,0.0,79,27,1,185,WIN_PERCENTAGES:,0.6,0.6,-1,1,CUM_AVERAGES:,112.2,108.2,115.9,113.0,AT_HOME_AVGS:,110.6,105.8,ON_ROAD_AVGS:,115.3,113.3,L10AVERAGES:,99.4,103.3,102.8,107.6,L5AVERAGES:,92.4,98.8,105.6,107.8,DAYS_SINCE:,2,2,H2H:,44,2,1
682,373149,2024-03-15 02:00:00+00:00,2023-2024,156,Portland Trail Blazers,151,New York Knicks,25,16,27,25,0.0,93,26,29,30,20,0.0,105,-12,0,198,WIN_PERCENTAGES:,0.3,0.6,1,1,CUM_AVERAGES:,107.9,115.9,112.1,107.7,AT_HOME_AVGS:,109.0,115.2,ON_ROAD_AVGS:,114.1,111.0,L10AVERAGES:,107.9,110.2,100.0,99.4,L5AVERAGES:,112.0,118.4,106.6,101.8,DAYS_SINCE:,1,2,H2H:,-28,0,1
697,373164,2024-03-17 02:00:00+00:00,2023-2024,157,Sacramento Kings,151,New York Knicks,22,26,26,17,0.0,91,21,32,22,23,0.0,98,-7,0,189,WIN_PERCENTAGES:,0.6,0.6,2,2,CUM_AVERAGES:,118.4,117.2,112.0,107.5,AT_HOME_AVGS:,121.2,119.0,ON_ROAD_AVGS:,113.8,110.4,L10AVERAGES:,117.6,114.0,99.5,99.1,L5AVERAGES:,118.6,111.0,105.0,102.0,DAYS_SINCE:,3,2,H2H:,0,0,0
710,373177,2024-03-19 02:00:00+00:00,2023-2024,141,Golden State Warriors,151,New York Knicks,22,34,32,24,0.0,112,30,32,37,20,0.0,119,-7,0,231,WIN_PERCENTAGES:,0.5,0.6,1,3,CUM_AVERAGES:,118.4,116.8,111.8,107.3,AT_HOME_AVGS:,117.7,117.4,ON_ROAD_AVGS:,113.3,109.8,L10AVERAGES:,114.0,112.9,99.1,96.6,L5AVERAGES:,112.0,108.8,104.0,99.2,DAYS_SINCE:,2,2,H2H:,11,1,0
731,373198,2024-03-22 01:00:00+00:00,2023-2024,139,Denver Nuggets,151,New York Knicks,32,29,27,25,0.0,113,30,26,20,24,0.0,100,13,1,213,WIN_PERCENTAGES:,0.7,0.6,1,4,CUM_AVERAGES:,114.7,110.2,111.9,107.3,AT_HOME_AVGS:,118.9,109.6,ON_ROAD_AVGS:,113.4,109.8,L10AVERAGES:,115.3,109.0,99.7,96.7,L5AVERAGES:,118.4,112.6,107.8,98.0,DAYS_SINCE:,2,2,H2H:,-38,0,1
741,373208,2024-03-23 17:00:00+00:00,2023-2024,151,New York Knicks,134,Brooklyn Nets,28,28,24,25,0.0,105,30,27,20,16,0.0,93,12,1,198,WIN_PERCENTAGES:,0.6,0.4,-1,-5,CUM_AVERAGES:,111.7,107.4,111.4,114.0,AT_HOME_AVGS:,110.5,105.0,ON_ROAD_AVGS:,109.5,116.4,L10AVERAGES:,100.5,96.5,106.5,111.8,L5AVERAGES:,95.2,91.6,109.8,114.6,DAYS_SINCE:,1,1,H2H:,24,2,0
757,373224,2024-03-25 23:30:00+00:00,2023-2024,151,New York Knicks,140,Detroit Pistons,36,23,36,29,0.0,124,17,25,24,33,0.0,99,25,1,223,WIN_PERCENTAGES:,0.6,0.2,1,-6,CUM_AVERAGES:,111.6,107.2,111.3,120.1,AT_HOME_AVGS:,110.3,104.7,ON_ROAD_AVGS:,112.2,122.2,L10AVERAGES:,101.1,94.8,106.5,115.1,L5AVERAGES:,96.4,88.2,102.2,111.6,DAYS_SINCE:,2,1,H2H:,8,2,0
773,373242,2024-03-27 23:30:00+00:00,2023-2024,159,Toronto Raptors,151,New York Knicks,33,26,21,21,0.0,101,45,35,31,34,0.0,145,-44,0,246,WIN_PERCENTAGES:,0.3,0.6,-11,2,CUM_AVERAGES:,112.8,117.8,111.8,107.1,AT_HOME_AVGS:,109.4,114.0,ON_ROAD_AVGS:,113.0,109.9,L10AVERAGES:,104.2,116.4,102.8,94.9,L5AVERAGES:,96.2,118.8,105.8,101.4,DAYS_SINCE:,2,2,H2H:,-45,0,3
790,373257,2024-03-30 00:00:00+00:00,2023-2024,158,San Antonio Spurs,151,New York Knicks,38,36,20,27,9.0,130,27,30,34,30,5.0,126,4,1,256,WIN_PERCENTAGES:,0.2,0.6,2,3,CUM_AVERAGES:,111.9,119.2,112.3,107.0,AT_HOME_AVGS:,113.1,118.4,ON_ROAD_AVGS:,114.0,109.7,L10AVERAGES:,108.9,111.6,107.3,93.4,L5AVERAGES:,107.2,112.0,113.4,102.0,DAYS_SINCE:,1,2,H2H:,-21,0,1
804,373273,2024-03-31 23:00:00+00:00,2023-2024,151,New York Knicks,152,Oklahoma City Thunder,22,24,39,27,0.0,112,17,33,25,38,0.0,113,-1,0,225,WIN_PERCENTAGES:,0.6,0.7,-1,1,CUM_AVERAGES:,112.5,107.3,120.5,113.0,AT_HOME_AVGS:,110.7,104.5,ON_ROAD_AVGS:,118.0,114.5,L10AVERAGES:,110.1,99.0,118.7,112.0,L5AVERAGES:,101.2,84.8,116.2,113.0,DAYS_SINCE:,1,1,H2H:,-9,0,1
817,373286,2024-04-02 23:30:00+00:00,2023-2024,147,Miami Heat,151,New York Knicks,34,24,25,26,0.0,109,22,21,30,26,0.0,99,10,1,208,WIN_PERCENTAGES:,0.6,0.6,2,-2,CUM_AVERAGES:,109.9,108.5,112.5,107.4,AT_HOME_AVGS:,112.5,110.9,ON_ROAD_AVGS:,114.3,110.3,L10AVERAGES:,106.0,99.5,114.0,102.4,L5AVERAGES:,106.2,98.0,117.6,109.4,DAYS_SINCE:,2,2,H2H:,-18,0,2
834,373301,2024-04-04 23:30:00+00:00,2023-2024,151,New York Knicks,157,Sacramento Kings,20,32,35,33,0.0,120,35,25,27,22,0.0,109,11,1,229,WIN_PERCENTAGES:,0.6,0.6,-3,2,CUM_AVERAGES:,112.3,107.4,117.1,115.6,AT_HOME_AVGS:,110.7,104.8,ON_ROAD_AVGS:,115.6,114.5,L10AVERAGES:,113.3,105.4,108.9,105.0,L5AVERAGES:,104.0,92.6,117.6,109.0,DAYS_SINCE:,2,1,H2H:,7,1,0
842,373308,2024-04-06 00:00:00+00:00,2023-2024,136,Chicago Bulls,151,New York Knicks,29,32,20,27,0.0,108,17,28,31,24,0.0,100,8,1,208,WIN_PERCENTAGES:,0.5,0.6,-1,1,CUM_AVERAGES:,111.9,113.6,112.4,107.4,AT_HOME_AVGS:,111.5,111.5,ON_ROAD_AVGS:,113.9,110.2,L10AVERAGES:,112.6,112.7,114.8,107.0,L5AVERAGES:,110.8,110.0,117.8,113.0,DAYS_SINCE:,4,1,H2H:,-16,0,1
862,373328,2024-04-07 23:00:00+00:00,2023-2024,148,Milwaukee Bucks,151,New York Knicks,31,30,24,24,0.0,109,25,25,39,33,0.0,122,-13,0,231,WIN_PERCENTAGES:,0.6,0.6,-3,-1,CUM_AVERAGES:,119.5,116.5,112.2,107.4,AT_HOME_AVGS:,121.5,115.2,ON_ROAD_AVGS:,113.5,110.2,L10AVERAGES:,116.3,114.5,115.0,108.7,L5AVERAGES:,113.8,111.4,114.0,112.2,DAYS_SINCE:,1,1,H2H:,17,2,1
874,379961,2024-04-10 00:00:00+00:00,2023-2024,136,Chicago Bulls,151,New York Knicks,27,35,33,22,0.0,117,36,32,33,27,0.0,128,-11,0,245,WIN_PERCENTAGES:,0.5,0.6,-1,1,CUM_AVERAGES:,111.7,113.4,112.3,107.5,AT_HOME_AVGS:,111.4,111.2,ON_ROAD_AVGS:,113.7,110.1,L10AVERAGES:,109.4,111.6,115.3,108.4,L5AVERAGES:,110.4,108.6,118.4,111.4,DAYS_SINCE:,2,2,H2H:,-8,1,1
890,379977,2024-04-11 23:30:00+00:00,2023-2024,133,Boston Celtics,151,New York Knicks,29,19,23,38,0.0,109,32,37,31,18,0.0,118,-9,0,227,WIN_PERCENTAGES:,0.8,0.6,-1,2,CUM_AVERAGES:,120.6,108.9,112.5,107.6,AT_HOME_AVGS:,123.1,107.6,ON_ROAD_AVGS:,114.1,110.3,L10AVERAGES:,116.6,106.5,118.1,108.8,L5AVERAGES:,120.2,104.0,115.0,114.6,DAYS_SINCE:,2,1,H2H:,44,4,0
898,379985,2024-04-12 23:30:00+00:00,2023-2024,151,New York Knicks,134,Brooklyn Nets,14,40,30,27,0.0,111,30,33,13,31,0.0,107,4,1,218,WIN_PERCENTAGES:,0.6,0.4,3,1,CUM_AVERAGES:,112.6,107.6,110.7,113.4,AT_HOME_AVGS:,111.0,104.9,ON_ROAD_AVGS:,109.1,115.9,L10AVERAGES:,119.4,110.4,106.2,109.2,L5AVERAGES:,113.4,98.6,106.0,112.0,DAYS_SINCE:,1,2,H2H:,36,3,0
