,teams.home.name,teams.away.name,home_spread,odds_spread
456,New York Knicks,Dallas Mavericks,-14,-2.5
457,Brooklyn Nets,Cleveland Cavaliers,-23,-6.0
458,Memphis Grizzlies,Chicago Bulls,-8,-5.5
459,Milwaukee Bucks,Minnesota Timberwolves,-24,1.0
460,Phoenix Suns,Utah Jazz,14,7.0
461,Los Angeles Lakers,Denver Nuggets,-8,-3.5
462,Portland Trail Blazers,Detroit Pistons,-6,5.0
463,Philadelphia 76ers,Atlanta Hawks,-6,-4.0
464,Boston Celtics,Washington Wizards,4,17.0
465,Toronto Raptors,Houston Rockets,3,2.0
466,Milwaukee Bucks,Charlotte Hornets,36,16.0
467,Sacramento Kings,Denver Nuggets,29,1.0
468,Los Angeles Lakers,New Orleans Pelicans,17,-1.0
469,Dallas Mavericks,Oklahoma City Thunder,35,-2.0
470,Los Angeles Clippers,Detroit Pistons,6,15.5
471,Brooklyn Nets,San Antonio Spurs,20,6.0
472,Washington Wizards,Philadelphia 76ers,-6,-5.5
473,Orlando Magic,Chicago Bulls,6,5.0
474,Charlotte Hornets,Memphis Grizzlies,9,-5.0
475,Toronto Raptors,Cleveland Cavaliers,-24,-9.0
476,Atlanta Hawks,Houston Rockets,9,7.0
477,New York Knicks,Indiana Pacers,-14,-5.0
478,Golden State Warriors,Phoenix Suns,1,-1.5
479,Portland Trail Blazers,New Orleans Pelicans,-9,-8.0
480,Miami Heat,Boston Celtics,-4,-5.5
481,Oklahoma City Thunder,Sacramento Kings,14,3.5
482,Cleveland Cavaliers,Philadelphia 76ers,-2,10.0
483,Charlotte Hornets,Indiana Pacers,9,-11.5
484,Toronto Raptors,San Antonio Spurs,-23,7.0
485,Atlanta Hawks,Chicago Bulls,-10,3.5
486,Houston Rockets,New York Knicks,2,-4.5
487,Memphis Grizzlies,New Orleans Pelicans,-9,-9.0
488,Milwaukee Bucks,Denver Nuggets,17,-1.5
489,Dallas Mavericks,Washington Wizards,8,14.0
490,Utah Jazz,Golden State Warriors,-22,1.0
491,Los Angeles Clippers,Minnesota Timberwolves,-21,3.5
492,Brooklyn Nets,Boston Celtics,-8,-8.5
493,Orlando Magic,Oklahoma City Thunder,-14,-2.5
494,Milwaukee Bucks,Miami Heat,-26,8.0
495,Portland Trail Blazers,Minnesota Timberwolves,-12,-7.5
496,Phoenix Suns,Sacramento Kings,5,4.5
497,Los Angeles Lakers,Detroit Pistons,14,12.0
498,Charlotte Hornets,Atlanta Hawks,23,-7.5
499,Orlando Magic,New York Knicks,18,2.5
500,Philadelphia 76ers,Miami Heat,-5,3.0
501,Toronto Raptors,Indiana Pacers,-2,-3.5
502,Cleveland Cavaliers,Chicago Bulls,3,9.0
503,Boston Celtics,Brooklyn Nets,50,11.5
504,Memphis Grizzlies,Houston Rockets,8,-4.0
505,New Orleans Pelicans,Washington Wizards,7,12.5
506,Dallas Mavericks,San Antonio Spurs,23,12.0
507,Denver Nuggets,Sacramento Kings,-4,5.5
508,Phoenix Suns,Detroit Pistons,16,14.0
509,Utah Jazz,Los Angeles Lakers,-16,5.5
510,Golden State Warriors,Los Angeles Clippers,-5,-2.0
511,Memphis Grizzlies,Milwaukee Bucks,3,-10.0
512,Utah Jazz,Golden State Warriors,-3,1.0
513,Portland Trail Blazers,Minnesota Timberwolves,-37,-10.0
514,Toronto Raptors,Brooklyn Nets,28,1.5
515,Philadelphia 76ers,New York Knicks,-14,1.5
516,Cleveland Cavaliers,Orlando Magic,-7,8.0
517,Indiana Pacers,Detroit Pistons,14,12.0
518,Dallas Mavericks,Phoenix Suns,10,2.0
519,Chicago Bulls,Boston Celtics,-17,-7.5
520,New Orleans Pelicans,Houston Rockets,22,7.0
521,Oklahoma City Thunder,Los Angeles Clippers,22,2.5
522,Utah Jazz,Charlotte Hornets,-8,9.0
523,Denver Nuggets,Washington Wizards,20,16.0
524,Golden State Warriors,Los Angeles Lakers,18,3.0
525,Sacramento Kings,San Antonio Spurs,5,11.0
526,Philadelphia 76ers,Cleveland Cavaliers,7,-4.5
527,Atlanta Hawks,Toronto Raptors,-2,6.5
528,Houston Rockets,Phoenix Suns,4,-3.0
529,Memphis Grizzlies,Los Angeles Clippers,-6,-10.0
530,Oklahoma City Thunder,Washington Wizards,41,15.0
531,New Orleans Pelicans,Miami Heat,-11,3.0
532,Minnesota Timberwolves,Milwaukee Bucks,-5,4.5
533,Portland Trail Blazers,Denver Nuggets,-15,-9.0
534,Golden State Warriors,Charlotte Hornets,13,14.0
535,Los Angeles Lakers,San Antonio Spurs,5,10.0
536,Detroit Pistons,Orlando Magic,-3,-7.0
537,New York Knicks,Boston Celtics,-14,-7.0
538,Minnesota Timberwolves,Brooklyn Nets,15,8.0
539,Philadelphia 76ers,Milwaukee Bucks,-21,-4.5
540,Phoenix Suns,Los Angeles Lakers,10,4.5
541,Indiana Pacers,Dallas Mavericks,22,-1.0
542,Washington Wizards,Cleveland Cavaliers,-9,-11.0
543,Atlanta Hawks,Orlando Magic,17,1.5
544,Golden State Warriors,Denver Nuggets,-16,-1.5
545,Houston Rockets,Oklahoma City Thunder,-13,-5.5
546,New Orleans Pelicans,Chicago Bulls,-8,5.0
547,Utah Jazz,San Antonio Spurs,19,7.0
548,Portland Trail Blazers,Charlotte Hornets,-13,3.5
549,Los Angeles Clippers,Sacramento Kings,-16,6.5
550,Indiana Pacers,Toronto Raptors,-8,6.5
551,New York Knicks,Detroit Pistons,2,11.5
552,Memphis Grizzlies,Brooklyn Nets,-25,-1.0
553,Sacramento Kings,Miami Heat,-11,7.5
554,Cleveland Cavaliers,Dallas Mavericks,2,3.5
555,Orlando Magic,Brooklyn Nets,27,6.5
556,Washington Wizards,Golden State Warriors,-11,-11.0
557,New York Knicks,New Orleans Pelicans,-23,-6.5
558,Boston Celtics,Philadelphia 76ers,18,12.5
559,Atlanta Hawks,Utah Jazz,27,3.0
560,Minnesota Timberwolves,San Antonio Spurs,9,13.5
561,Milwaukee Bucks,Charlotte Hornets,38,15.0
562,Chicago Bulls,Detroit Pistons,-10,10.5
563,Oklahoma City Thunder,Houston Rockets,17,10.5
564,Portland Trail Blazers,Miami Heat,-10,-7.0
565,Indiana Pacers,New Orleans Pelicans,9,4.0
566,Toronto Raptors,Dallas Mavericks,-11,-2.5
567,Chicago Bulls,Cleveland Cavaliers,9,-4.0
568,Minnesota Timberwolves,Memphis Grizzlies,9,13.0
569,Denver Nuggets,Sacramento Kings,21,6.5
570,Los Angeles Clippers,Los Angeles Lakers,-4,5.5
571,Charlotte Hornets,Milwaukee Bucks,-12,-11.5
572,Orlando Magic,Utah Jazz,8,5.5
573,Brooklyn Nets,Atlanta Hawks,27,2.0
574,New York Knicks,Golden State Warriors,-11,-3.0
575,San Antonio Spurs,Oklahoma City Thunder,14,-11.5
576,Phoenix Suns,Houston Rockets,5,8.5
577,Denver Nuggets,Miami Heat,6,6.0
578,Los Angeles Lakers,Washington Wizards,3,11.0
579,Detroit Pistons,Cleveland Cavaliers,-10,-9.0
580,Philadelphia 76ers,Charlotte Hornets,7,12.0
581,Boston Celtics,Dallas Mavericks,28,9.5
582,Toronto Raptors,Golden State Warriors,-15,-2.5
583,Memphis Grizzlies,Portland Trail Blazers,-30,3.0
584,Minnesota Timberwolves,Sacramento Kings,-4,6.5
585,New Orleans Pelicans,Indiana Pacers,27,4.5
586,Chicago Bulls,Milwaukee Bucks,-16,-4.0
587,Los Angeles Clippers,Washington Wizards,25,16.5
588,Brooklyn Nets,Atlanta Hawks,12,2.0
589,Miami Heat,Utah Jazz,6,7.5
590,Memphis Grizzlies,Portland Trail Blazers,-7,2.0
591,Los Angeles Lakers,Denver Nuggets,-10,1.0
592,Phoenix Suns,Houston Rockets,-9,9.5
593,Dallas Mavericks,Philadelphia 76ers,-4,8.5
594,Boston Celtics,Golden State Warriors,52,10.5
595,Minnesota Timberwolves,Los Angeles Clippers,-1,-1.5
596,Orlando Magic,Detroit Pistons,22,11.0
597,Toronto Raptors,Charlotte Hornets,5,9.0
598,San Antonio Spurs,Indiana Pacers,12,-6.5
599,Cleveland Cavaliers,New York Knicks,-9,5.0
600,Phoenix Suns,Oklahoma City Thunder,-8,-2.0
601,Brooklyn Nets,Memphis Grizzlies,-4,8.5
602,Milwaukee Bucks,Los Angeles Clippers,7,4.5
603,Minnesota Timberwolves,Portland Trail Blazers,5,14.5
604,Utah Jazz,Washington Wizards,12,10.0
605,Sacramento Kings,Chicago Bulls,-4,7.0
606,Los Angeles Lakers,Oklahoma City Thunder,12,1.0
607,Charlotte Hornets,Orlando Magic,-12,-8.5
608,Toronto Raptors,New Orleans Pelicans,-41,-8.0
609,Miami Heat,Detroit Pistons,8,11.5
610,New York Knicks,Atlanta Hawks,-16,1.5
611,Cleveland Cavaliers,Boston Celtics,1,-8.0
612,Brooklyn Nets,Philadelphia 76ers,5,-1.0
613,Houston Rockets,San Antonio Spurs,13,6.5
614,Dallas Mavericks,Indiana Pacers,-17,5.5
615,Denver Nuggets,Phoenix Suns,-10,9.0
616,Washington Wizards,Orlando Magic,-10,-7.0
617,Philadelphia 76ers,Memphis Grizzlies,-6,5.0
618,Atlanta Hawks,Cleveland Cavaliers,11,-2.0
619,Houston Rockets,Los Angeles Clippers,-6,-6.5
620,Utah Jazz,Chicago Bulls,-2,1.0
621,Portland Trail Blazers,Oklahoma City Thunder,-8,-11.5
622,Golden State Warriors,Milwaukee Bucks,35,3.0
623,Los Angeles Lakers,Sacramento Kings,-10,2.5
624,Detroit Pistons,Brooklyn Nets,6,-2.0
625,Indiana Pacers,Minnesota Timberwolves,-2,1.5
626,Dallas Mavericks,Miami Heat,6,5.0
627,Phoenix Suns,Toronto Raptors,7,10.5
628,Denver Nuggets,Boston Celtics,6,-1.0
629,Golden State Warriors,Chicago Bulls,-3,7.0
630,Sacramento Kings,San Antonio Spurs,2,9.0
631,Washington Wizards,Charlotte Hornets,12,2.5
632,Philadelphia 76ers,New Orleans Pelicans,-8,-6.5
633,Cleveland Cavaliers,Minnesota Timberwolves,9,-1.0
634,New York Knicks,Orlando Magic,24,1.0
635,Memphis Grizzlies,Atlanta Hawks,-7,-2.5
636,Oklahoma City Thunder,Miami Heat,7,8.5
637,Los Angeles Lakers,Milwaukee Bucks,1,-1.0
638,Portland Trail Blazers,Houston Rockets,-16,-4.5
639,Los Angeles Clippers,Chicago Bulls,10,9.0
640,Charlotte Hornets,Brooklyn Nets,11,-5.0
641,Detroit Pistons,Dallas Mavericks,-18,-6.5
642,Phoenix Suns,Boston Celtics,-10,-6.0
643,Golden State Warriors,San Antonio Spurs,-13,9.0
644,Denver Nuggets,Utah Jazz,21,12.0
645,Portland Trail Blazers,Toronto Raptors,10,-1.5
646,Los Angeles Clippers,Milwaukee Bucks,-7,-2.0
647,Orlando Magic,Indiana Pacers,-14,1.5
648,Sacramento Kings,Houston Rockets,-8,6.5
649,Atlanta Hawks,New Orleans Pelicans,-13,-6.0
650,Miami Heat,Washington Wizards,-2,10.0
651,Oklahoma City Thunder,Memphis Grizzlies,31,14.5
652,Cleveland Cavaliers,Brooklyn Nets,-19,7.5
653,New York Knicks,Philadelphia 76ers,-6,7.0
654,Los Angeles Lakers,Minnesota Timberwolves,11,3.0
655,Detroit Pistons,Charlotte Hornets,17,7.5
656,Cleveland Cavaliers,Phoenix Suns,-6,-1.5
657,Chicago Bulls,Dallas Mavericks,-35,-3.5
658,San Antonio Spurs,Golden State Warriors,-10,-5.0
659,Denver Nuggets,Toronto Raptors,6,15.5
660,Portland Trail Blazers,Boston Celtics,-22,-12.0
661,New York Knicks,Philadelphia 76ers,27,5.5
662,Memphis Grizzlies,Washington Wizards,12,-1.0
663,Oklahoma City Thunder,Indiana Pacers,-10,6.5
664,San Antonio Spurs,Houston Rockets,-2,-3.5
665,Utah Jazz,Boston Celtics,-16,-6.5
666,Sacramento Kings,Milwaukee Bucks,35,1.0
667,Los Angeles Clippers,Minnesota Timberwolves,-18,6.5
668,Detroit Pistons,Toronto Raptors,9,2.5
669,Orlando Magic,Brooklyn Nets,8,7.0
670,Indiana Pacers,Chicago Bulls,-3,4.0
671,Miami Heat,Denver Nuggets,-12,-3.0
672,Memphis Grizzlies,Charlotte Hornets,-12,-2.5
673,New Orleans Pelicans,Cleveland Cavaliers,-21,6.5
674,Dallas Mavericks,Golden State Warriors,10,7.5
675,Sacramento Kings,Los Angeles Lakers,13,-1.5
676,Portland Trail Blazers,Atlanta Hawks,4,-3.5
677,Boston Celtics,Phoenix Suns,15,4.5
678,Chicago Bulls,Los Angeles Clippers,-15,-6.0
679,Houston Rockets,Washington Wizards,16,8.5
680,Milwaukee Bucks,Philadelphia 76ers,9,8.5
681,Oklahoma City Thunder,Dallas Mavericks,7,7.0
682,Portland Trail Blazers,New York Knicks,-12,-8.5
683,Detroit Pistons,Miami Heat,-13,-10.5
684,Charlotte Hornets,Phoenix Suns,-11,-16.5
685,Toronto Raptors,Orlando Magic,-10,-7.5
686,New Orleans Pelicans,Los Angeles Clippers,8,7.0
687,San Antonio Spurs,Denver Nuggets,-11,-10.5
688,Utah Jazz,Atlanta Hawks,2,-2.0
689,Houston Rockets,Cleveland Cavaliers,14,
690,Indiana Pacers,Brooklyn Nets,21,3.5
691,New Orleans Pelicans,Portland Trail Blazers,19,10.5
692,Philadelphia 76ers,Charlotte Hornets,11,9.5
693,Memphis Grizzlies,Oklahoma City Thunder,-6,-10.5
694,Chicago Bulls,Washington Wizards,29,9.5
695,Los Angeles Lakers,Golden State Warriors,-7,1.5
696,Utah Jazz,Minnesota Timberwolves,-19,-8.5
697,Sacramento Kings,New York Knicks,-7,4.0
698,Milwaukee Bucks,Phoenix Suns,11,2.0
699,Detroit Pistons,Miami Heat,-3,-7.0
700,Dallas Mavericks,Denver Nuggets,2,-3.5
701,Orlando Magic,Toronto Raptors,15,11.5
702,Washington Wizards,Boston Celtics,-26,-10.0
703,San Antonio Spurs,Brooklyn Nets,7,1.0
704,Los Angeles Clippers,Atlanta Hawks,-17,10.0
705,Indiana Pacers,Cleveland Cavaliers,-5,7.5
706,Boston Celtics,Detroit Pistons,25,15.5
707,Philadelphia 76ers,Miami Heat,7,3.5
708,Chicago Bulls,Portland Trail Blazers,3,7.0
709,Utah Jazz,Minnesota Timberwolves,-10,-7.5
710,Golden State Warriors,New York Knicks,-7,4.0
711,Sacramento Kings,Memphis Grizzlies,10,9.5
712,Los Angeles Lakers,Atlanta Hawks,31,9.5
713,Orlando Magic,Charlotte Hornets,20,13.0
714,Washington Wizards,Houston Rockets,-23,-6.5
715,Brooklyn Nets,New Orleans Pelicans,-13,-7.0
716,San Antonio Spurs,Dallas Mavericks,-6,-8.0
717,Minnesota Timberwolves,Denver Nuggets,-3,-4.0
718,Detroit Pistons,Indiana Pacers,-19,-9.5
719,Cleveland Cavaliers,Miami Heat,-3,3.0
720,Boston Celtics,Milwaukee Bucks,3,6.5
721,Toronto Raptors,Sacramento Kings,-34,-9.5
722,Oklahoma City Thunder,Utah Jazz,12,14.0
723,Portland Trail Blazers,Los Angeles Clippers,-13,-11.5
724,Golden State Warriors,Memphis Grizzlies,21,10.0
725,Phoenix Suns,Philadelphia 76ers,13,9.0
726,Orlando Magic,New Orleans Pelicans,15,-1.5
727,Washington Wizards,Sacramento Kings,7,-10.5
728,Houston Rockets,Chicago Bulls,10,3.0
729,Milwaukee Bucks,Brooklyn Nets,7,10.5
730,Dallas Mavericks,Utah Jazz,16,14.5
731,Denver Nuggets,New York Knicks,13,9.0
732,Phoenix Suns,Atlanta Hawks,13,9.0
733,Detroit Pistons,Boston Celtics,-27,-13.0
734,Toronto Raptors,Oklahoma City Thunder,-20,-15.0
735,Miami Heat,New Orleans Pelicans,-23,3.0
736,Minnesota Timberwolves,Cleveland Cavaliers,13,7.5
737,San Antonio Spurs,Memphis Grizzlies,-2,6.0
738,Golden State Warriors,Indiana Pacers,-12,4.0
739,Portland Trail Blazers,Los Angeles Clippers,-8,-14.0
740,Los Angeles Lakers,Philadelphia 76ers,7,8.0
741,New York Knicks,Brooklyn Nets,12,7.5
742,Orlando Magic,Sacramento Kings,-2,4.5
743,Atlanta Hawks,Charlotte Hornets,41,9.5
744,Chicago Bulls,Boston Celtics,-11,-5.0
745,Houston Rockets,Utah Jazz,28,10.5
746,San Antonio Spurs,Phoenix Suns,-25,-9.0
747,Washington Wizards,Toronto Raptors,3,5.5
748,Portland Trail Blazers,Denver Nuggets,-3,-10.0
749,Detroit Pistons,New Orleans Pelicans,-13,-11.5
750,Los Angeles Clippers,Philadelphia 76ers,-14,9.5
751,Miami Heat,Cleveland Cavaliers,37,3.5
752,Minnesota Timberwolves,Golden State Warriors,4,3.5
753,Milwaukee Bucks,Oklahoma City Thunder,25,2.0
754,Los Angeles Lakers,Indiana Pacers,5,3.0
755,Cleveland Cavaliers,Charlotte Hornets,23,12.5
756,Atlanta Hawks,Boston Celtics,2,-11.0
757,New York Knicks,Detroit Pistons,25,16.5
758,Toronto Raptors,Brooklyn Nets,-8,-5.0
759,San Antonio Spurs,Phoenix Suns,2,-12.0
760,Houston Rockets,Portland Trail Blazers,18,9.5
761,Chicago Bulls,Washington Wizards,-2,10.5
762,Denver Nuggets,Memphis Grizzlies,25,14.5
763,Utah Jazz,Dallas Mavericks,-10,-8.0
764,Sacramento Kings,Philadelphia 76ers,12,9.0
765,Los Angeles Clippers,Indiana Pacers,-17,6.0
766,Miami Heat,Golden State Warriors,-21,-2.0
767,Milwaukee Bucks,Los Angeles Lakers,-4,8.0
768,New Orleans Pelicans,Oklahoma City Thunder,-7,-1.0
769,Sacramento Kings,Dallas Mavericks,-36,1.5
770,Orlando Magic,Golden State Warriors,-8,4.5
771,Washington Wizards,Brooklyn Nets,-3,-2.5
772,Charlotte Hornets,Cleveland Cavaliers,7,-10.5
773,Toronto Raptors,New York Knicks,-44,-12.5
774,Philadelphia 76ers,Los Angeles Clippers,-1,-6.0
775,Atlanta Hawks,Portland Trail Blazers,14,11.0
776,Chicago Bulls,Indiana Pacers,26,-3.0
777,Memphis Grizzlies,Los Angeles Lakers,-12,-4.5
778,Minnesota Timberwolves,Detroit Pistons,15,16.5
779,Oklahoma City Thunder,Houston Rockets,-6,6.5
780,Utah Jazz,San Antonio Spurs,-7,4.0
781,Denver Nuggets,Phoenix Suns,-7,7.0
782,Atlanta Hawks,Boston Celtics,1,-12.5
783,New Orleans Pelicans,Milwaukee Bucks,7,-1.5
784,Washington Wizards,Detroit Pistons,-9,3.0
785,Orlando Magic,Los Angeles Clippers,-3,-1.0
786,Indiana Pacers,Los Angeles Lakers,19,2.0
787,Charlotte Hornets,Golden State Warriors,-18,-11.5
788,Cleveland Cavaliers,Philadelphia 76ers,3,7.5
789,Brooklyn Nets,Chicago Bulls,17,-5.5
790,San Antonio Spurs,New York Knicks,4,-10.0
791,Miami Heat,Portland Trail Blazers,60,15.5
792,Oklahoma City Thunder,Phoenix Suns,25,-1.0
793,Denver Nuggets,Minnesota Timberwolves,-13,6.5
794,Utah Jazz,Houston Rockets,-1,-5.5
795,Sacramento Kings,Dallas Mavericks,-4,1.0
796,New Orleans Pelicans,Boston Celtics,-12,
797,Orlando Magic,Memphis Grizzlies,30,22.5
798,Atlanta Hawks,Milwaukee Bucks,-9,-5.5
799,Denver Nuggets,Cleveland Cavaliers,29,5.0
800,Brooklyn Nets,Los Angeles Lakers,-12,-5.5
801,Charlotte Hornets,Los Angeles Clippers,-12,-16.0
802,Toronto Raptors,Philadelphia 76ers,-15,-11.5
803,Washington Wizards,Miami Heat,-12,-10.5
804,New York Knicks,Oklahoma City Thunder,-1,3.0
805,San Antonio Spurs,Golden State Warriors,-4,-8.5
806,Houston Rockets,Dallas Mavericks,-18,1.0
807,Minnesota Timberwolves,Chicago Bulls,-8,8.5
808,Sacramento Kings,Utah Jazz,21,11.5
809,Charlotte Hornets,Boston Celtics,-14,-17.0
810,Detroit Pistons,Memphis Grizzlies,-2,2.5
811,Indiana Pacers,Brooklyn Nets,22,10.0
812,Orlando Magic,Portland Trail Blazers,1,16.0
813,Chicago Bulls,Atlanta Hawks,-12,2.5
814,New Orleans Pelicans,Phoenix Suns,-13,1.0
815,Washington Wizards,Milwaukee Bucks,4,-13.5
816,Toronto Raptors,Los Angeles Lakers,-17,-13.0
817,Miami Heat,New York Knicks,10,2.5
818,Philadelphia 76ers,Oklahoma City Thunder,4,-5.0
819,Minnesota Timberwolves,Houston Rockets,7,8.0
820,Denver Nuggets,San Antonio Spurs,5,16.5
821,Utah Jazz,Cleveland Cavaliers,-16,-9.5
822,Golden State Warriors,Dallas Mavericks,4,1.0
823,Sacramento Kings,Los Angeles Clippers,14,-1.5
824,Charlotte Hornets,Portland Trail Blazers,-3,1.5
825,Washington Wizards,Los Angeles Lakers,-5,-12.5
826,Brooklyn Nets,Indiana Pacers,4,-7.5
827,Boston Celtics,Oklahoma City Thunder,35,8.5
828,Atlanta Hawks,Detroit Pistons,8,13.0
829,Milwaukee Bucks,Memphis Grizzlies,-10,14.0
830,Minnesota Timberwolves,Toronto Raptors,48,15.5
831,New Orleans Pelicans,Orlando Magic,-9,4.0
832,Phoenix Suns,Cleveland Cavaliers,21,6.0
833,Miami Heat,Philadelphia 76ers,-4,2.5
834,New York Knicks,Sacramento Kings,11,3.5
835,Dallas Mavericks,Atlanta Hawks,14,11.0
836,Houston Rockets,Golden State Warriors,-23,-3.5
837,Los Angeles Clippers,Denver Nuggets,2,-3.5
838,Indiana Pacers,Oklahoma City Thunder,14,4.5
839,Charlotte Hornets,Orlando Magic,9,-11.5
840,Washington Wizards,Portland Trail Blazers,-6,2.0
841,Boston Celtics,Sacramento Kings,1,8.5
842,Chicago Bulls,New York Knicks,8,1.0
843,Houston Rockets,Miami Heat,-15,1.0
844,Memphis Grizzlies,Detroit Pistons,18,
845,Milwaukee Bucks,Toronto Raptors,-6,
846,New Orleans Pelicans,San Antonio Spurs,-2,13.0
847,Dallas Mavericks,Golden State Warriors,2,5.0
848,Phoenix Suns,Minnesota Timberwolves,10,3.5
849,Los Angeles Clippers,Utah Jazz,29,15.5
850,Los Angeles Lakers,Cleveland Cavaliers,19,4.5
851,Brooklyn Nets,Detroit Pistons,10,8.0
852,Memphis Grizzlies,Philadelphia 76ers,-20,-12.0
853,Denver Nuggets,Atlanta Hawks,32,12.0
854,Dallas Mavericks,Houston Rockets,11,7.5
855,Los Angeles Clippers,Cleveland Cavaliers,2,4.0
856,Indiana Pacers,Miami Heat,2,1.0
857,Phoenix Suns,New Orleans Pelicans,-8,5.5
858,Orlando Magic,Chicago Bulls,15,7.5
859,Toronto Raptors,Washington Wizards,8,4.5
860,Boston Celtics,Portland Trail Blazers,17,16.5
861,Charlotte Hornets,Oklahoma City Thunder,-3,-9.0
862,Milwaukee Bucks,New York Knicks,-13,1.5
863,San Antonio Spurs,Philadelphia 76ers,-7,-4.5
864,Brooklyn Nets,Sacramento Kings,-30,-6.5
865,Golden State Warriors,Utah Jazz,8,10.0
866,Los Angeles Lakers,Minnesota Timberwolves,-10,3.5
867,Charlotte Hornets,Dallas Mavericks,-26,-10.5
868,Philadelphia 76ers,Detroit Pistons,18,15.0
869,Toronto Raptors,Indiana Pacers,-17,-10.0
870,Milwaukee Bucks,Boston Celtics,13,-2.0
871,Atlanta Hawks,Miami Heat,-6,-3.5
872,Minnesota Timberwolves,Washington Wizards,9,16.5
873,Oklahoma City Thunder,Sacramento Kings,7,4.0
874,Chicago Bulls,New York Knicks,-11,-4.0
875,Memphis Grizzlies,San Antonio Spurs,-15,-3.5
876,Houston Rockets,Orlando Magic,12,-2.5
877,Utah Jazz,Denver Nuggets,-16,-14.0
878,Los Angeles Lakers,Golden State Warriors,-14,2.0
879,Phoenix Suns,Los Angeles Clippers,-13,3.5
880,Portland Trail Blazers,New Orleans Pelicans,-10,-10.5
881,Cleveland Cavaliers,Memphis Grizzlies,12,11.5
882,Atlanta Hawks,Charlotte Hornets,-1,12.5
883,Miami Heat,Dallas Mavericks,-19,0.5
884,Brooklyn Nets,Toronto Raptors,4,10.5
885,Milwaukee Bucks,Orlando Magic,18,-1.5
886,Oklahoma City Thunder,San Antonio Spurs,38,17.0
887,Denver Nuggets,Minnesota Timberwolves,9,6.0
888,Los Angeles Clippers,Phoenix Suns,-16,-11.0
889,Detroit Pistons,Chicago Bulls,-22,-12.5
890,Boston Celtics,New York Knicks,-9,-1.5
891,Utah Jazz,Houston Rockets,3,-11.0
892,Sacramento Kings,New Orleans Pelicans,-12,1.0
893,Portland Trail Blazers,Golden State Warriors,-8,-13.0
894,Philadelphia 76ers,Orlando Magic,12,6.5
895,Washington Wizards,Chicago Bulls,-2,4.5
896,Boston Celtics,Charlotte Hornets,33,6.5
897,Cleveland Cavaliers,Indiana Pacers,9,3.0
898,New York Knicks,Brooklyn Nets,4,10.5
899,San Antonio Spurs,Denver Nuggets,1,-11.5
900,Minnesota Timberwolves,Atlanta Hawks,3,12.5
901,Miami Heat,Toronto Raptors,22,14.0
902,Oklahoma City Thunder,Milwaukee Bucks,18,11.0
903,Memphis Grizzlies,Los Angeles Lakers,-3,-16.0
904,Dallas Mavericks,Detroit Pistons,-18,11.0
905,Golden State Warriors,New Orleans Pelicans,-5,4.0
906,Portland Trail Blazers,Houston Rockets,-9,-6.0
907,Los Angeles Clippers,Utah Jazz,-1,15.5
908,Sacramento Kings,Phoenix Suns,-1,-3.0
